Product Name,Price,Actual_Price
JUGULAR,₹279,₹888
Try This,₹329,₹999
AUSK,₹199,"₹1,499"
AUSK,₹219,₹999
AUSK,₹199,"₹1,499"
VeBNoR,₹299,"₹1,330"
Allen Solly,₹599,₹999
BGLORE,₹239,"₹1,399"
BLIVE,₹149,"₹1,399"
3BROS,₹299,₹999
BGLORE,₹259,"₹1,499"
JUGULAR,₹279,₹888
AUSK,₹219,₹999
AUSK,₹199,₹999
London Hills,₹189,"₹1,299"
AUSK,₹199,"₹1,499"
JUGULAR,₹279,₹888
BGLORE,₹239,"₹1,399"
AUSK,₹199,"₹1,499"
VeBNoR,₹279,"₹1,330"
JUGULAR,₹279,₹888
Crastic,₹269,₹999
AUSK,₹219,₹999
VeBNoR,₹379,"₹2,299"
Smartees,₹179,"₹1,599"
AUSK,₹199,"₹1,499"
FTX,₹469,"₹1,499"
U.S. POLO ASSN.,₹899,"₹1,499"
3BROS,₹299,₹999
NB NICKY BOY,₹199,₹777
LIFEIDEA,₹280,₹949
GIBOR,₹269,"₹1,399"
Reya,₹239,"₹1,499"
AUSK,₹249,"₹1,499"
KAJARU,₹249,"₹1,399"
AUSK,₹199,"₹1,199"
Crastic,₹298,₹999
BGLORE,₹259,"₹1,499"
HELMONT,₹249,₹999
TRIPR,₹224,"₹1,999"
